ID,Type,Name,Child Count,Size,Date Created,Hidden,Parent
1150,Dir,Dir_1150,32,0,07/01/2008 02:08:16,Y,
1151,Dir,Dir_1151,50,0,02/02/2016 08:35:52,N,
1152,Dir,Dir_1152,24,0,09/22/2019 07:46:41,N,1150
1153,Dir,Dir_1153,31,9756938230,12/08/2022 08:25:31,Y,1151
1154,Dir,Dir_1154,20,7403935132,06/15/2005 08:50:21,N,1153
1155,Dir,Dir_1155,2,1439354768,09/15/2001 13:10:22,N,1154
1201,Exe,Exe_1201,,915485694,07/03/2009 01:45:07,N,1152
1475,Dat,File_1475.pdf,,6986521297,02/16/2016 09:50:55,Y,1154
1608,Dat,File_1608.pptx,,3530877718,01/12/2010 08:10:21,N,1152
1913,Dat,File_1913.docx,,6592186381,06/19/2017 11:08:26,N,1152
2185,Exe,Exe_2185,,9906549414,08/03/2007 16:41:39,N,1152
3179,Dat,File_3179.pptx,,8563842712,07/28/2019 21:14:17,Y,1151
3191,Dat,File_3191.pdf,,9897910795,10/18/2012 13:40:53,N,1154
3734,Exe,Exe_3734,,9584767922,12/14/2015 02:38:26,N,1151
3972,Dat,File_3972.csv,,3241786776,06/04/2021 15:30:50,N,
4126,Exe,Exe_4126,,296473201,12/20/2020 11:18:46,N,1153
4456,Dat,File_4456.pptx,,1876148762,01/28/2006 11:05:17,N,1150
4477,Dat,File_4477.txt,,6462640179,11/18/2012 04:41:23,N,1150
4709,Dat,File_4709.txt,,8014077305,07/06/2009 15:54:29,N,1154
4951,Dat,File_4951.txt,,9326156184,06/13/2022 06:36:37,N,
5217,Dat,File_5217.pptx,,518942603,10/06/2011 04:48:56,N,1151
5263,Dat,File_5263.pdf,,7378364236,12/09/2011 19:12:40,N,1154
5298,Dat,File_5298.docx,,3166862425,02/21/2014 17:06:30,N,
5441,Dat,File_5441.pptx,,264373150,03/16/2021 05:15:44,N,1152
5499,Dat,File_5499.csv,,9764962379,10/07/2009 19:53:20,N,1152
5654,Dat,File_5654.pptx,,735266777,05/17/2004 09:49:14,N,1152
5958,Exe,Exe_5958,,9545760790,09/09/2001 14:46:59,N,1150
6208,Dat,File_6208.docx,,7273248004,11/28/2018 21:45:12,N,1151
6315,Exe,Exe_6315,,2775961667,07/09/2017 09:07:48,N,1154
6539,Exe,Exe_6539,,332235791,12/11/2006 23:05:56,N,1153
6988,Dat,File_6988.txt,,2356389698,11/26/2020 02:20:43,N,1152
7154,Exe,Exe_7154,,3037486898,09/12/2001 03:17:45,N,
7210,Exe,Exe_7210,,1720859525,04/22/2019 01:44:24,N,1151
7975,Dat,File_7975.csv,,3781081687,02/10/2010 09:45:48,N,1151
8849,Exe,Exe_8849,,1353607471,12/10/2022 08:44:40,Y,1153
8988,Exe,Exe_8988,,2846791421,03/19/2022 08:48:42,N,
9186,Exe,Exe_9186,,1983678333,09/20/2021 07:32:14,N,1154
9259,Dat,File_9259.txt,,811192298,05/25/2002 23:05:40,N,
9424,Dat,File_9424.csv,,82917106,11/22/2000 06:46:35,N,1151
9806,Exe,Exe_9806,,183429127,05/15/2008 06:02:15,N,1152
1155,Dir,Dir_1155,2,1439354768,09/15/2001 13:10:22,N,1154
9186,Exe,Exe_9186,,1983678333,09/20/2021 07:32:14,N,1154
6208,Dat,File_6208.docx,,7273248004,11/28/2018 21:45:12,N,1151
